Date,Part,Price,Description,URL
2021-03-07 20:35:03,rtx3060ti,478.99,Gigabyte GeForce RTX 3060 Ti GAMING OC PRO 8GB Graphics Card,https://www.amazon.co.uk/_itm/dp/B08P3JL63Y?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-03-07 20:28:56,rtx3070,582.33,Gigabyte AORUS GeForce RTX 3070 MASTER 8GB Graphics Card,https://www.amazon.co.uk/_itm/dp/B08LNY8P5L?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-03-07 19:33:56,rtx3070,577.00,MSI GeForce RTX 3070 GAMING X TRIO Scheda Video Gaming TRI FROZR 2. TORX Fan 4.0. 8GB GDDR6. 256 bit,https://www.amazon.it/_itm/dp/B08LNPPCWJ?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-03-07 18:55:50,rtx3070,564.22,MSI GeForce RTX 3070 VENTUS 2X Scheda Video Gaming TORX Fan 3.0. 8GB GDDR6. 256 bit. PCI Express Gen,https://www.amazon.it/_itm/dp/B08LNQTSCT?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-03-07 17:27:41,rtx3070,549.00,ASUS GeForce RTX 3070 8 GB DUAL OC Graphics Card,https://www.currys.co.uk/GBUK/product-10215776-pdt.html
2021-03-07 15:16:20,rx6800,814.73,PowerColor Fighter AMD Radeon™ RX 6800 Gaming Graphics card with 16GB GDDR6 memory. powered by AMD R,https://www.amazon.co.uk/_itm/dp/B08P2B5XXD?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-03-07 14:55:56,rtx3070,800.00,ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Carte Graphique Gaming (PCIe 4.0. 8GB GDDR6. HDMI 2.1. ,https://www.amazon.fr/_itm/dp/B08KHFZN9P?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-03-07 14:13:58,rtx3070,800.00,ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Carte Graphique Gaming (PCIe 4.0. 8GB GDDR6. HDMI 2.1. ,https://www.amazon.fr/_itm/dp/B08KHFZN9P?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-03-07 13:12:18,rtx3070,800.00,ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Carte Graphique Gaming (PCIe 4.0. 8GB GDDR6. HDMI 2.1. ,https://www.amazon.fr/_itm/dp/B08KHFZN9P?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-03-06 21:54:36,rtx3070,517.86,Gigabyte GeForce RTX 3070 EAGLE OC 8GB Graphics Card,https://www.amazon.co.uk/_itm/dp/B08KHL2J5X?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-03-06 12:56:44,rtx3070,800.00,ASUS Dual GeForce RTX 3070 8 GB OC Edition Gaming Scheda grafica (GDDR6. PCIe 4.0. 2x HDMI 2.1. 3x D,https://www.amazon.it/_itm/dp/B08KHFZN9P?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-03-06 11:47:53,rtx3070,800.00,ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Carte Graphique Gaming (PCIe 4.0. 8GB GDDR6. HDMI 2.1. ,https://www.amazon.fr/_itm/dp/B08KHFZN9P?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-03-06 11:31:30,rtx3070,698.19,Gigabyte AORUS GeForce RTX 3070 Master Carte Graphique 8 Go,https://www.amazon.fr/_itm/dp/B08LNY8P5L?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-03-06 08:31:45,rtx3060ti,472.89,GIGABYTE 8G-Grafikkarte. GeForce RTX 3060 Ti Gaming OC Pro. 3 x Windforce-Lüfter. 256-Bit GDDR6. GV-,https://www.amazon.de/_itm/dp/B08NYPLXPJ?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-03-06 07:19:30,rtx3070,800.00,ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Carte Graphique Gaming (PCIe 4.0. 8GB GDDR6. HDMI 2.1. ,https://www.amazon.fr/_itm/dp/B08KHFZN9P?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-03-06 04:05:03,rx6800,811.89,PowerColor Fighter AMD Radeon™ RX 6800 Gaming Graphics card with 16GB GDDR6 memory. powered by AMD R,https://www.amazon.co.uk/_itm/dp/B08P2B5XXD?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-03-06 01:44:02,rtx3060,492.86,MSI Gaming GeForce RTX 3060 12GB 15Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Grafikk,https://www.amazon.de/_itm/dp/B08WPRMVWB?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-03-05 18:22:12,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-03-05 18:15:26,rtx3070,764.66,Gigabyte GeForce RTX 3070 Gaming OC 8 GB Grafikkarte,https://www.amazon.de/_itm/dp/B08KHL21CV?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-03-05 16:08:30,rtx3070,800.00,ASUS Dual GeForce RTX 3070 8GB OC Edition Gaming Grafikkarte (GDDR6 Speicher. PCIe 4.0. 2x HDMI 2.1.,https://www.amazon.de/_itm/dp/B08KHFZN9P?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-03-05 16:00:10,rtx3070,710.02,Gigabyte AORUS GeForce RTX 3070 MASTER - Scheda grafica da 8 GB,https://www.amazon.it/_itm/dp/B08LNY8P5L?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-03-05 15:19:58,rtx3060ti,699.99,MSI GeForce RTX 3060 Ti Gaming X Trio (8GB GDDR6/PCI Express 4.0/MHz-MHz/14000MHz),https://www.amazon.co.uk/_itm/dp/B08NW32F74?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-03-05 15:17:45,rtx3060ti,699.95,ASUS TUF Gaming NVIDIA GeForce RTX 3060 Ti OC Edition Graphics Card (PCIe 4.0. 8GB GDDR6. HDMI 2.1 .,https://www.amazon.co.uk/_itm/dp/B083Z5P6TX?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-03-05 15:16:06,rtx3070,912.20,ASUS TUF-RTX3070-O8G-GAMING - Tarjeta gráfica (NVIDIA GeForce RTX 3070 OC Edition. PCIe 4.0. 8 GB GD,https://www.amazon.es/_itm/dp/B08LLG9KQT?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-03-05 12:49:46,rtx3070,610.69,MSI GeForce RTX 3070 VENTUS 2X Scheda Video Gaming TORX Fan 3.0. 8GB GDDR6. 256 bit. PCI Express Gen,https://www.amazon.it/_itm/dp/B08LNQTSCT?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-03-05 10:59:02,rtx3070,800.00,ASUS Dual GeForce RTX 3070 8 GB OC Edition Gaming Scheda grafica (GDDR6. PCIe 4.0. 2x HDMI 2.1. 3x D,https://www.amazon.it/_itm/dp/B08KHFZN9P?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-03-05 09:20:11,rtx3080,952.49,Gigabyte GV-N3080GAMING OC-10GD Tarjeta gráfica NVIDIA GeForce RTX 3080 10 GB GDDR6X,https://www.amazon.es/_itm/dp/B08HLZXHZY?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-03-05 06:41:41,rtx3060,449.00,GeForce RTX 3060 GAMING X 12G,https://www.amazon.de/_itm/dp/B08WHML7GL?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
